iter	Passed	Remaining
573	6849	5083
574	6853	5065
575	6862	5051
576	6866	5033
577	6875	5019
578	6881	5003
579	6889	4988
580	6899	4975
581	6917	4967
582	6921	4950
583	6927	4934
584	6937	4921
585	6958	4915
586	6968	4903
587	6979	4890
588	6991	4878
589	7000	4864
590	7013	4853
591	7021	4838
592	7035	4828
593	7045	4815
594	7055	4802
595	7064	4788
596	7076	4776
597	7085	4762
598	7097	4751
599	7109	4739
600	7119	4726
601	7129	4713
602	7140	4701
603	7153	4690
604	7162	4676
605	7173	4663
606	7184	4651
607	7203	4644
608	7214	4632
609	7230	4623
610	7243	4611
611	7259	4602
612	7276	4594
613	7287	4581
614	7306	4573
615	7316	4561
616	7329	4549
617	7342	4538
618	7352	4525
619	7362	4512
620	7371	4498
621	7378	4484
622	7387	4470
623	7395	4456
624	7403	4442
625	7409	4426
626	7418	4413
627	7423	4397
628	7433	4384
629	7441	4370
630	7447	4355
631	7457	4342
632	7465	4328
633	7473	4314
634	7482	4301
635	7490	4287
636	7496	4271
637	7508	4260
638	7516	4246
639	7526	4233
640	7535	4220
641	7548	4209
642	7556	4195
643	7582	4191
644	7597	4181
645	7605	4167
646	7618	4156
647	7624	4141
648	7636	4130
649	7647	4117
650	7658	4105
651	7669	4093
652	7680	4081
653	7690	4068
654	7699	4055
655	7708	4042
656	7721	4030
657	7730	4018
658	7744	4007
659	7754	3994
660	7764	3982
661	7774	3969
662	7789	3959
663	7799	3946
664	7810	3934
665	7820	3922
666	7836	3912
667	7844	3898
668	7853	3885
669	7858	3870
670	7867	3857
671	7875	3844
672	7883	3830
673	7894	3818
674	7914	3810
675	7947	3809
676	7955	3795
677	7965	3783
678	7974	3770
679	7984	3757
680	7992	3744
681	8001	3730
682	8012	3718
683	8020	3705
684	8034	3694
685	8040	3680
686	8050	3667
687	8059	3654
688	8070	3642
689	8079	3630
690	8089	3617
691	8098	3604
692	8109	3592
693	8115	3578
694	8127	3566
695	8140	3555
696	8150	3543
697	8161	3531
698	8173	3519
699	8183	3507
700	8191	3494
701	8201	3481
702	8209	3468
703	8217	3455
704	8225	3441
705	8234	3428
706	8243	3416
707	8248	3402
708	8257	3389
709	8266	3376
710	8275	3363
711	8284	3350
712	8295	3338
713	8304	3326
714	8315	3314
715	8327	3302
716	8336	3290
717	8345	3277
718	8355	3265
719	8364	3252
720	8377	3241
721	8386	3228
722	8397	3217
723	8407	3205
724	8417	3192
725	8427	3180
726	8440	3169
727	8449	3156
728	8460	3145
729	8470	3133
730	8482	3121
731	8489	3108
732	8503	3097
733	8511	3084
734	8519	3071
735	8529	3059
736	8538	3047
737	8547	3034
738	8555	3021
739	8563	3008
740	8568	2994
741	8577	2982
742	8589	2970
743	8596	2957
744	8603	2944
745	8613	2932
746	8622	2920
747	8629	2907
748	8639	2895
749	8648	2882
750	8661	2871
751	8668	2858
752	8677	2846
753	8686	2834
754	8692	2820
755	8703	2808
756	8712	2796
757	8723	2784
758	8736	2774
759	8749	2762
760	8756	2750
761	8767	2738
762	8778	2726
763	8787	2714
764	8793	2701
765	8802	2688
766	8813	2677
767	8824	2665
768	8836	2654
769	8845	2642
770	8854	2629
771	8862	2617
772	8868	2604
773	8876	2591
774	8882	2578
775	8886	2565
776	8890	2551
777	8893	2537
778	8900	2525
779	8906	2512
780	8912	2499
781	8923	2487
782	8926	2473
783	8932	2460
784	8940	2448
785	8951	2437
786	8954	2423
787	8958	2410
788	8963	2397
789	8973	2385
790	8979	2372
791	8988	2360
792	8997	2348
793	9001	2335
794	9010	2323
795	9019	2311
796	9028	2299
797	9035	2287
798	9039	2273
799	9042	2260
800	9045	2247
801	9049	2234
802	9053	2221
803	9057	2207
804	9060	2194
805	9065	2181
806	9069	2168
807	9072	2155
808	9076	2142
809	9079	2129
810	9083	2116
811	9086	2103
812	9091	2091
813	9096	2078
814	9106	2067
815	9114	2055
816	9123	2043
817	9133	2032
818	9141	2020
819	9156	2009
820	9167	1998
821	9175	1986
822	9184	1975
823	9195	1964
824	9203	1952
825	9219	1942
826	9233	1931
827	9238	1919
828	9253	1908
829	9269	1898
830	9280	1887
831	9291	1876
832	9305	1865
833	9313	1853
834	9326	1843
835	9334	1831
836	9349	1820
837	9362	1809
838	9372	1798
839	9381	1786
840	9394	1776
841	9401	1764
842	9407	1752
843	9416	1740
844	9424	1728
845	9436	1717
846	9441	1705
847	9451	1694
848	9459	1682
849	9463	1670
850	9469	1657
851	9473	1645
852	9477	1633
853	9480	1620
854	9485	1608
855	9488	1596
856	9492	1583
857	9496	1571
858	9499	1559
859	9504	1547
860	9508	1534
861	9512	1522
862	9515	1510
863	9519	1498
864	9522	1486
865	9526	1474
866	9531	1462
867	9535	1450
868	9538	1437
869	9542	1425
870	9545	1413
871	9550	1401
872	9554	1389
873	9558	1377
874	9561	1365
875	9569	1354
876	9574	1342
877	9586	1332
878	9589	1320
879	9592	1308
880	9599	1296
881	9602	1284
882	9608	1273
883	9616	1261
884	9621	1250
885	9625	1238
886	9629	1226
887	9634	1215
888	9640	1203
889	9643	1191
890	9649	1180
891	9656	1169
892	9662	1157
893	9665	1146
894	9668	1134
895	9672	1122
896	9678	1111
897	9682	1099
898	9691	1088
899	9694	1077
900	9698	1065
901	9702	1054
902	9706	1042
903	9712	1031
904	9719	1020
905	9723	1008
906	9731	997
907	9737	986
908	9742	975
909	9749	964
910	9753	952
911	9758	941
912	9764	930
913	9773	919
914	9777	908
915	9780	896
916	9785	885
917	9793	874
918	9802	863
919	9805	852
920	9811	841
921	9814	830
922	9819	819
923	9823	807
924	9829	796
925	9832	785
926	9837	774
927	9843	763
928	9848	752
929	9852	741
930	9856	730
931	9861	719
932	9866	708
933	9873	697
934	9876	686
935	9879	675
936	9883	664
937	9887	653
938	9890	642
939	9893	631
940	9897	620
941	9901	609
942	9905	598
943	9909	587
944	9913	576
945	9920	566
946	9924	555
947	9927	544
948	9930	533
949	9933	522
950	9937	512
951	9940	501
952	9943	490
953	9948	479
954	9951	468
955	9961	458
956	9965	447
957	9975	437
958	9978	426
959	9982	415
960	9985	405
961	9988	394
962	9992	383
963	9996	373
964	9999	362
965	10003	352
966	10007	341
967	10010	330
968	10014	320
969	10018	309
970	10022	299
971	10026	288
972	10032	278
973	10036	267
974	10040	257
975	10043	246
976	10046	236
977	10049	226
978	10058	215
979	10066	205
980	10075	195
981	10079	184
982	10082	174
983	10085	163
984	10089	153
985	10093	143
986	10096	132
987	10100	122
988	10104	112
989	10109	102
990	10112	91
991	10116	81
992	10119	71
993	10124	61
994	10128	50
995	10132	40
996	10139	30
997	10142	20
998	10146	10
999	10150	0
526
966	14982	511
967	15009	496
968	15024	480
969	15047	465
970	15069	450
971	15092	434
972	15116	419
973	15133	403
974	15150	388
975	15174	373
976	15194	357
977	15213	342
978	15246	327
979	15274	311
980	15302	296
981	15340	281
982	15354	265
983	15380	250
984	15390	234
985	15409	218
986	15428	203
987	15440	187
988	15463	171
989	15474	156
990	15495	140
991	15516	125
992	15529	109
993	15556	93
994	15569	78
995	15587	62
996	15599	46
997	15618	31
998	15639	15
999	15657	0
